SampleID	Location	Material	Moisture	Tp	Treatment	Material_Moisture	Material_Location	Moisture_Loaction	Material_Moisture_Location_Timepoint	Material_Moisture_Location	Description	Gypsum	MDF	MF.Gypsum	Plywood	Wet	Timepoint	Location_1	Location_2	Control
control.Plywood.dry.TP0	control	Plywood	dry	0	REG	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_0	Plywood_dry_control	control.Plywood.dry.TP0	0	0	0	1	0	0	0	0	1
control.Plywood.dry.TP1	control	Plywood	dry	1	REG	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_1	Plywood_dry_control	control.Plywood.dry.TP1	0	0	0	1	0	1	0	0	1
control.Plywood.dry.TP1.RE	control	Plywood	dry	1	RE	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_1	Plywood_dry_control	control.Plywood.dry.TP1.RE	0	0	0	1	0	1	0	0	1
control.Plywood.dry.TP1.RE.DUP	control	Plywood	dry	1	RE.DUP	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_1	Plywood_dry_control	control.Plywood.dry.TP1.RE.DUP	0	0	0	1	0	1	0	0	1
control.Plywood.dry.TP2	control	Plywood	dry	2	REG	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_2	Plywood_dry_control	control.Plywood.dry.TP2	0	0	0	1	0	2	0	0	1
control.Plywood.dry.TP3	control	Plywood	dry	3	REG	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_3	Plywood_dry_control	control.Plywood.dry.TP3	0	0	0	1	0	3	0	0	1
control.Plywood.dry.TP3.RE	control	Plywood	dry	3	RE	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_3	Plywood_dry_control	control.Plywood.dry.TP3.RE	0	0	0	1	0	3	0	0	1
control.Plywood.dry.TP3.RE.DUP	control	Plywood	dry	3	RE.DUP	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_3	Plywood_dry_control	control.Plywood.dry.TP3.RE.DUP	0	0	0	1	0	3	0	0	1
control.Plywood.dry.TP4.DUP	control	Plywood	dry	4	DUP	Plywood_dry	Plywood_control	dry_control	Plywood_dry_control_4	Plywood_dry_control	control.Plywood.dry.TP4.DUP	0	0	0	1	0	4	0	0	1
control.Plywood.wet.TP0	control	Plywood	wet	0	REG	Plywood_wet	Plywood_control	wet_control	Plywood_wet_control_0	Plywood_wet_control	control.Plywood.wet.TP0	0	0	0	1	1	0	0	0	1
control.Plywood.wet.TP0.DUP	control	Plywood	wet	0	DUP	Plywood_wet	Plywood_control	wet_control	Plywood_wet_control_0	Plywood_wet_control	control.Plywood.wet.TP0.DUP	0	0	0	1	1	0	0	0	1
control.Plywood.wet.TP3	control	Plywood	wet	3	REG	Plywood_wet	Plywood_control	wet_control	Plywood_wet_control_3	Plywood_wet_control	control.Plywood.wet.TP3	0	0	0	1	1	3	0	0	1
control.Plywood.wet.TP3.RE	control	Plywood	wet	3	RE	Plywood_wet	Plywood_control	wet_control	Plywood_wet_control_3	Plywood_wet_control	control.Plywood.wet.TP3.RE	0	0	0	1	1	3	0	0	1
